# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog									Full Changelog
buildtoolbar_popup_obj_signLetterM				A wall sign with a letter M upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterN				A wall sign with a letter N upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterO				A wall sign with a letter O upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterP				A wall sign with a letter P upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterQ				A wall sign with a letter Q upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterR				A wall sign with a letter R upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterS				A wall sign with a letter S upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterT				A wall sign with a letter T upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterU				A wall sign with a letter U upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterV				A wall sign with a letter V upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterW				A wall sign with a letter W upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterX				A wall sign with a letter X upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterY				A wall sign with a letter Y upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterZ				A wall sign with a letter Z upon it. Line up signs to create words or labels, such as "CELL BLOCK 4".

buildtoolbar_popup_mat_pipewall					Build Pipe walls on top of foundations, to create new areas or rooms.
buildtoolbar_popup_mat_derelictwall				Build cheap Derelict Walls for that ancient look.
buildtoolbar_popup_mat_overgrownwall			Build cheap Overgrown Walls because even in prison, life finds a way.
buildtoolbar_popup_mat_rustywall				Build cheap Rusty Walls for post-apocalyptic look.
buildtoolbar_popup_mat_slumwall					Build cheap Slum Walls, because money saved on inmate welfare is money you can put towards extending your office.
buildtoolbar_popup_mat_bambooFence				A man made bamboo fence for an encampment look.
buildtoolbar_popup_mat_RunningTrack				Perfect for our inmates to jog on, in the Yard.
buildtoolbar_popup_mat_BambooFloor				A floor with a jungle encampment look.
buildtoolbar_popup_mat_DecayedWall				Build cheap walls made of decayed breeze block on top of foundations.
buildtoolbar_popup_mat_flowerfield				A grassy area with nice flowers growing.
buildtoolbar_popup_mat_fenceandgrass			Fence sections with grass beneath, instead of dirt.
buildtoolbar_popup_mat_WallMinSec				Build coloured walls to inidicate a certain security sector of the prison.
buildtoolbar_popup_mat_WallMedSec				Build coloured walls to inidicate a certain security sector of the prison.
buildtoolbar_popup_mat_WallMaxSec				Build coloured walls to inidicate a certain security sector of the prison.
buildtoolbar_popup_mat_WallInsaneSec			Build coloured walls to inidicate a certain security sector of the prison.
buildtoolbar_popup_mat_WallProtective			Build coloured walls to inidicate a certain security sector of the prison.
buildtoolbar_popup_mat_CliffEdge				Build cliff walls to create elevated sections and impassible areas around your prison or island. 
buildtoolbar_popup_mat_Water					Create streams, rivers and other impassable water areas.
buildtoolbar_popup_mat_WaterShallow				Create shallow water areas to create nicer shorelines, between Sand and Water flooring. These tiles can be walked over unlike standard Water.
buildtoolbar_popup_mat_WaterLarge				Create large areas of water, lakes and oceans.

interfaceoverlay_signs							Signs
interfacemode_walls								Walls
interfacemode_doors								Doors
interface_action_snackbought                    Snack Bought

# =============================================================================
# Crisis Toolbar
# =============================================================================

crisisSector_AllSectors							ALL Sectors
crisisSector_StopAll							Stop ALL
crisisSector_SharedOnly							Shared Only
crisisSector_MinSecOnly							Min Sec Only
crisisSector_MedSecOnly							Med Sec Only
crisisSector_MaxSecOnly							Max Sec Only
crisisSector_InsaneOnly							Insane Only
crisisSector_ProtectedOnly						Protected Only
crisisSector_SuperMaxOnly						SuperMax Only
crisisSector_DeathRowOnly						Death Row Only

crisisToolbarTitle_WeaponsFree			FREEFIRE
crisisToolbarTitle_TunnelSearch			TUNNEL SEARCH
crisisToolbarTitle_Shakedown			SHAKEDOWN
crisisToolbarTitle_Lockdown			LOCKDOWN
crisisToolbarTitle_Bangup			BANGUP
crisisToolbarTitle_RollCall			ROLL CALL
crisisToolbarQuestion				 - Choose which sectors?

# =============================================================================
# Custom Sector Window
# =============================================================================

customSector_message			Choose which security levels are permitted to enter this custom sector.
customsectorwindow_minseccaption		Min Sec
customsectorwindow_medseccaption		Med Sec
customsectorwindow_maxseccaption		Max Sec		
customsectorwindow_supermaxcaption	SuperMax
customsectorwindow_deathrowcaption	Death Row
customsectorwindow_protectivecaption	Protective Custody
customsectorwindow_insanecaption		Criminally Insane

customSector_title			Custom Security Sector
customSector_subtitle			This security sector allows the following:

# =============================================================================
# Room Grading
# =============================================================================

roomgrading_messaging							Upgrading this room will also improve the grade of this Security Sector.
roomGrading_prisonerTransfer					Upgrades will ONLY motivate prisoners with the "Cleared For Transfer" DLC installed, and the "Prisoner Transfers" option turned on in the Map Setting menu.

roomgrading_Cell_BadWalls						[*E] Surrounded by depressing walls
roomgrading_Cell_OutsideWindow_Large			[*E]*Y Large Window
roomgrading_Cell_HasWindow_None					[*E] No Windows
roomgrading_Dormitory_BadWalls					[*E] Surrounded by depressing walls
roomgrading_Dormitory_Mattress					[*E] A majority of low quality beds
roomgrading_Dormitory_HasWindow_None			[*E] No Windows
roomgrading_Canteen_RoomSize					[*E] Room size at least *X Squares
roomgrading_Canteen_Item						[*E] Item : *X
roomgrading_Canteen_MealQuality					[*E] AVERAGE Meal Quality
roomgrading_Canteen_MealQuality_High			[*E] HIGH Meal Quality
roomgrading_Canteen_MealQuality_Low				[*E] LOW Meal Quality
roomgrading_Canteen_MealQuality_None			[*E] NO Meal Quality
roomgrading_Canteen_MealVariety					[*E] AVERAGE Meal Variety
roomgrading_Canteen_MealVariety_High			[*E] HIGH Meal Variety
roomgrading_Canteen_MealVariety_Low				[*E] LOW Meal Variety
roomgrading_Canteen_MealVariety_None			[*E] NO Meal Variety
roomgrading_Canteen_HasWindow_None				[*E] No Windows
roomgrading_Yard_RoomSize						[*E] Room size at least *X Squares
roomgrading_Yard_RoomSizeLess					[*E] Room size *X Squares or below
roomgrading_Yard_Item							[*E] Item : *X
roomgrading_Yard_Floor							[*E] *X Flooring (over *Y%)
roomgrading_Yard_MultiItems						[*E] Contains *X of the above objects
roomgrading_Yard_Floor_Quantity					[*E] *X *Y Squares
roomgrading_CommonRoom_RoomSize					[*E] Room size at least *X Squares
roomgrading_CommonRoom_Item						[*E] Item : *X
roomgrading_Gymnasium_RoomSize					[*E] Room size at least *X Squares
roomgrading_Gymnasium_OutsideWindow				[*E] *Y Outdoor Window
roomgrading_Gymnasium_Item						[*E] Item : *X
roomgrading_Gymnasium_HasWindow_None			[*E] No Windows
roomgrading_Classroom_RoomSize					[*E] Room size at least *X Squares
roomgrading_Classroom_Item						[*E] Item : *X
roomgrading_Classroom_OutsideWindow				[*E] *Y Outdoor Window

buildtoolbar_improvement						-IMPROVES a *R's grade 
buildtoolbar_decreased							-DECREASES a *R's grade
buildtoolbar_improvement_windows				(when facing the outside)

buildtoolbar_planning_autofoundation			Auto Foundations

prisoner_roomquality_veryLow						Very Low
prisoner_roomquality_low							Low
prisoner_roomquality_high							High
prisoner_roomquality_veryHigh						Very High
prisoner_roomquality_supreme						Supreme

# =============================================================================
# Security Sector Grading
# =============================================================================

interfaceLogistics_MinSecGrading				Min Sec Grading
interfaceLogistics_MedSecGrading				Med Sec Grading
interfaceLogistics_MaxSecGrading				Max Sec Grading
interfaceLogistics_SuperMaxGrading				SuperMax Grading

sectorGrading_title								*X Sector
sectorGrading_housed							*X inmates are housed in *Y			
sectorGrading_desiresTransfer					*X *Y inmates are hoping to be moved into *Z

sectorGrading_description						A breakdown of this sector’s grade is provided below. The more privileges added, the higher the grade. The max grade is 250.
sectorGrading_encouragement						The higher the grade difference between *X and this sector, the more *X prisoners will be encouraged to reform and behave, for a chance to be transfered into this lower security sector.
sectorGrading_discouragement					You could also decrease the grade of *X by removing privileges and comfort to create a similar effect, but you would also risk upsetting those inmates.

sectorGrading_transferNote						(NOTE: Prisoners motivated for transfer will ONLY take effect with the "Cleared For Transfer" DLC installed, and the "Prisoner Transfers" option turned on in the Map Setting menu).

sectorGrading_privilegesTitle					Inmate Privileges
sectorGrading_visitation						[+*X] Visitation
sectorGrading_mail								[+*X] Mail
sectorGrading_work								[+*X] Work access (cash)
sectorGrading_education							[+*X] Education / Programs access
sectorGrading_meals								[+*X] 2+ meals a day
sectorGrading_freeTime							[+*X] Ample Free Time (20%)
sectorGrading_extraFreeTime						[+*X] Extra Free Time (30%)
sectorGrading_yard								[+*X] Yard access
sectorGrading_gym								[+*X] Gym access
sectorGrading_shop								[+*X] Shop access
sectorGrading_commonRoom						[+*X] Common Room access
sectorGrading_showers							[+*X] Hot showers
sectorGrading_sleep								[+*X] 10 hours or more sleep

sectorGrading_facilitiesTitle					Facilities
sectorGrading_room								[*X/*Y] *R Quality

sectorGrading_conditionsTitle					Conditions
sectorGrading_suppresion						[*X/15] *Y Suppresion
sectorGrading_risk								[*X/20] *Y Risk (deaths & injuries)
sectorGrading_cleanliness						[*X/15] *Y Cleanliness

sectorGrading_grade								Grade *X/250
dialog_veryLow									Very Low

# =============================================================================
# Policy Report
# =============================================================================

dialog_various								Various

report_needs_staffBreaks					This is the max percentage of staff accross all types that can be on break at once.
reports_privilegetitle						Privilege Policy
reports_misconducttitle						Misconduct Policy
reports_paroletitle							Parole Cutoff Policy
reports_parole_info							Adjust Cutoff:
reports_parole_Cutoff						(*P%)
reports_policy_PrivilegeTableTitle			Privilege
reports_policy_Visitation					Visitation
reports_policy_Mail							Mail
reports_policy_PrisonLabour					Prison Labour
reports_policy_All							All
reports_policy_Programs						Programs
reports_policy_WorkPrograms					Work
reports_policy_EducationPrograms			Education
reports_policy_WellnessPrograms				Well-being

reports_policy_defaults						Recommended 
reports_policy_tooltip_recomended			Sets the *X to recommended values, for all selected security levels.
reports_policy_tooltip_all					Selects/Unselects all prison security levels

reports_privilegesPolicy_tooltip_all		Changes all programs except for Parole Hearings, Death Row Appeals and Psychiatric Consultations.
reports_privilegesPolicy_tooltip			Choose which Security Sectors can take part in these programs:
reports_privilegesPolicy_tooltip_EducationPrograms	\n-Foundation Education \n-General Education
reports_privilegesPolicy_tooltip_WellnessPrograms	\n-Behavioural Therapy \n-Alcoholics Group Therapy \n-Spiritual Guidance
reports_privilegesPolicy_tooltip_WorkPrograms		\n-Kitchen Safety and Hygiene \n-Workshop Safety Induction \n-Carpentry Apprenticeship

report_policy_categoryTooltip_Minsec		Minimum Security
report_policy_categoryTooltip_Normal		Medium Security
report_policy_categoryTooltip_MaxSec		Maximum Security
report_policy_categoryTooltip_Protected		Protective Custody
report_policy_categoryTooltip_SuperMax		SuperMax
report_policy_categoryTooltip_DeathRow		Death Row
report_policy_categoryTooltip_Insane		Criminally Insane
report_policy_categoryTooltip_PrisonerTransfer	Legendary

report_policy_misconductConflict_tooltip	Multiple security types are selected with different policy values. Select individual prisoner categories to see their misconduct policies.

report_policy_match							Match with:

report_policy_matchTitle					Match Security Sectors
report_policy_match_tooltip					Match the *X Misconduct Policy with another security sector.

report_policy_privilegesUnchangableTooltip	This Security Level has their privilege policies locked.

# =============================================================================
# Deployment
# =============================================================================

interfacedeployment_Chef					Assign Cooks
interfacedeployment_Doctor					Assign Doctors

buildtoolbar_deployment_Chef				Assign Cooks to sectors within your prison.
buildtoolbar_deployment_Doctor				Assign Doctors to sectors within your prison.
buildtoolbar_deployment_PrioritizeJanitor	Use this option to prioritize Janitors to perform their jobs in specific areas, before others around your prison. If you are short staffed, Janitors will try to cover your prioritized areas first. Assign 1, 2 or 3 Janitors to priorise an area.
buildtoolbar_deployment_PrioritizeGardener	Use this option to prioritize Gardeners to perform their jobs in specific areas, before others around your prison. If you are short staffed, Gardeners will try to cover your prioritized areas first. Assign 1, 2 or 3 Gardeners to priorise an area.

researchtooltip_deployment2					You can specifically assign these staff members to sectors of the prison via the Deployment menu.
researchtooltip_prioritize					You can specifically prioritize these staff members to sectors of the prison via the Deployment menu.

interfacetopbar_tooltip_totalChefs			*X total cooks
interfacetopbar_tooltip_totalDoctors		*X total doctors
interfacetopbar_tooltip_cook				How many cooks you have available to work in your prison.
interfacetopbar_tooltip_doctor				How many doctors you have available to work in your prison.

interfacetopbar_tooltip_priorityStationed   *X priority jobs

interfacetopbar_tooltip_totalJanitors		*X total janitors
interfacetopbar_tooltip_totalGardeners		*X total gardeners
interfacetopbar_tooltip_janitor				How many janitors you have available to work in your prison.
interfacetopbar_tooltip_gardener			How many gardeners you have available to work in your prison.

# =============================================================================
# Prisoner Transfer Report
# =============================================================================

reports_prisoners_transfer					*X Prisoners *W to transfer to *C:
reports_prisoners_transfer_ready			ready
reports_prisoners_transfer_wanting			wanting
reports_prisoners_transfer_button			APPROVE ALL
reports_prsioners_transfer_numCells			(*X Cells Available)
reports_prisoners_transfer_otherPrisoners	*X Other Prisoners

reports_transfers_offMessage				Prisoner Transfers can be turned on via Map Settings menu.
report_Transfer								Transfers

transfer_icon_tooltip						Use the options below to determine the criteria for *X prisoners to meet, to be transferred to *Y. \nYou can use the Policy Criteria column to make it more challenging for inmates to qualify for transfer, and other options to immediately disqualify certain types of prisoners. \nNot all prisoners are interested in transferring. Especially those who have short sentences, are planning to tunnel out, or simply do not think the conditions or comfort in the Security Sector below their own are that much better.
transfer_tooltip_onOff						Un-check to turn OFF/ON for the selected Security Sector/s.

transfer_description						Set the criteria for the prisoners to meet in order for them to be transfered to a lower and more comfortable security sector.
transfer_use								Allow transfer from *X to *Y
transfer_behaviourtitle						Good Behaviour
transfer_reformtile							Reform
transfer_requiredtitle						Required
transfer_qualifiedcaption					Total prisoners that qualify now
transfer_hopingcaption						Total prisoners motivated to qualify
transfer_numPrisoners						*X Prisoners (*Y%)

transfer_title								Transfer Criteria
transfer_criteria							Criteria Value
transfer_qualifying							Qualifying Prisoners

transfer_behaviour_staffAssaults			No staff assaults
transfer_behaviour_murders					No murders
transfer_behaviour_murdersStuff				(staff & inmates)
transfer_behaviour_escapeAttempts			No escape attempts
transfer_behaviour_contraband				No dangerous contraband
transfer_behaviour_gangMembers				Gang members disqualified

transfer_behaviour_tooltip_staffAssaults	Prisoners qualifying for transfer must not have assaulted any staff, for the specified number of days. A higher number of days will disqualify consistently violent inmates.
transfer_behaviour_tooltip_murders			Prisoners qualifying for transfer must not have killed any staff or inmates, for the specified number of days. A higher number of days will disqualify your most dangerous inmates.
transfer_behaviour_tooltip_escapeAttempts	Prisoners qualifying for transfer must not have been caught attempting to escape, for the specified number of days.
transfer_behaviour_tooltip_contraband		Prisoners qualifying for transfer must not have been caught with any Weapons or Tools, for the specified number of days.
transfer_behaviour_tooltip_gangMembers		Choose to disqualify ALL gang members from transferring, or only certain ranks within a gang.

transfer_reform_tooltip_reoffending			Prisoners qualifying for transfer must not have a specified % chance for reoffending, or higher. A lower number will help to ensure you're best behaved and most reformed prisoner qualify.
transfer_reform_tooltip_programsPassed		Prisoners qualifying for transfer must have a passed a specified number of programs. A higher number will disqualify prisoners who have not shown a willingness to reform.

transfer_required_tooltip					Adjust this value to decide whether prisoners must meet ALL of your checked criteria for transfer, or a lesser amount.

transfer_tooltip_uncheck					\nUn-check to remove this as a criteria for transfer.


transfer_reform_reoffending					% estimated reoffending rate
transfer_reform_programsPassed				Programs passed

transfer_required							Criteria above to be met

transfer_criteriaTime						for *X day/s

gangNone									None
gang_transfer_None							None
gang_transfer_Soldier						All
gang_transfer_Lieutenant					Lieutenant, Leader
gang_transfer_Leader						Leader

report_prisoner_approve						Approve
report_prisoner_approveAll					Approve all prisoners who've met your transfer criteria, to move down into to *X. The amount of prisoners that are transferred will also depend on the amount of available cells.

approveTransfer_title						Approve Transfer
approveTransfer_message						Approve transfer of prisoner *F *S to *C
approveAllTransfer_message					Approve all qualifyed prisoners for transfer to *C
approveAllTransfer_someMessage				There are only *X free cells in *C. Do you want to transfer *X prisoners to *C
approveTransfer_noFreeCells					There are no free cells available to transfer the prisoners into. Create more cells for this security level to approve transfer.

dialog_group								Group

transfer_pastCrimes_tooltip					Disqualify prisoners with Group *X crimes on their rap-sheet including:
transfer_criteria_met						*X/*Y
transfer_review								Review Transfers

# =============================================================================
# Actions
# =============================================================================

action_RunTreadmill								Using Treadmill
action_PunchingBag								Using Punchbag
action_Boxing									Using Boxing Ring

# =============================================================================
# Codex
# =============================================================================

codex_tooltip_escapeplans               Enables more escape options for prisoners. They will now attempt to climb over your walls when trying to escape.
codex_options_shadowcaption				Toggle Shadows
codex_options_punishmentscaption		Search & Actions Per Sector

codex_option_prisonerTransfer			Prisoner Transfers
codex_tooltip_prisonerTransfer			Prisoner Transfers allows you to set criteria that inmates must meet in order to be transferred and upgraded into a nicer security sector within your prison, one that may offer more comfort, facilities and other privileges. \n\nInmates will now evaluate their current sector’s conditions and those of the sector below their’s, and decide if they like to be transferred. If so, they will then determine whether they will try to improve their behaviour and meet your transfer policy, based on their own needs and characteristics.\n\nEach sector is graded, based on the privileges and facilities you offer to inmates in that sector. The bigger the ‘difference’ between their sector and the one below, the more prisoners will want to be transferred overall.\n\nAfter a prisoner meets your transfer criteria, it's still up to you whether and when to transfer them.

# =============================================================================
# Miscelanious
# =============================================================================

action_Stretching								Exercising
action_PlayChess								Playing Chess
action_EatSnack									Getting Snack

report_staff_multidelete						Use a single left mouse click to fire a single staff member, or drag and hold to fire multiple staff

codex_language_unsupported				---NO LONGER UPDATED---
codex_language_mod						---COMMUNITY CREATED LANGUAGE MODS---

codex_language_unsupportedString		This language is not officially supported, some translations may be missing.


report_intake_cat_PrisonerTransfer				Legendary Prisoner!
rapsheet_category_PrisonerTransfer				Legendary Prisoner!

############################### Sea and Air Pack ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_WoodenDockFloor						Dock (Wooden)
material_waterBed								Waterbed
material_WaterShallow							Water (Shallow)
material_WaterLarge								Water (Large)
material_WaterWalkable			Water walkable

# =============================================================================
# Objects - Names
# =============================================================================

object_FerryDock			Ferry Dock
object_FerryBoat			Transport Ferry
object_SupplyBoat			Supply Boat
object_PrisonBoat			Inmate Ferry
object_VisitorBoat			Visitor Boat
object_VisitorHeli			Visitor Helicopter
object_SupplyHeli			Supply Helicopter
object_PrisonHeli			Prison Helicopter
object_FireHeli				Air Firefighters
object_EliteOpsHeli			Elite Ops Team
object_SoldiersHeli			National Guard
object_HearseBoat			Hearse Boat
object_HearseHeli			Hearse Helicopter
object_ParamedicsHeli		Air Paramedics
object_Helipad				Helipad
object_BoatDock				Boat Dock
object_EliteOps				Elite Ops

object_Fountain		  			Fountain
object_SteppingStoneLillyPad		Stepping Stones (Lily Pad)
object_SteppingStoneIceBlock		Stepping Stones (Ice)
object_SteppingStone			Stepping Stones
object_SteppingStonePallet		Stepping Stones (Pallet)
object_ScannerMonitor			Scanner Monitor
object_ScannerMachine			Scanner Machine
object_CheckPoint				Checkpoint

# =============================================================================
# Interface Mode
# =============================================================================

codex_option_islandNoBridge		                Island Plot
codex_option_islandBridge		                Connected Island Plot

codex_tooltip_islandNoBridge	                Generate a starting plot of land surrounded by water, this plot will use a Boat Dock instead of a road.

codex_tooltip_islandBridge			            Generate a starting plot of land surrounded by water with a bridge connected to the road.

mutator_name_DynamicReputations						Dynamic Reputations
mutator_tooltip_DynamicReputations					Prisoners have the chance to gain or lose unique Reputation traits during their time in prison, based on their activities and experiences inside.

interfacelogistics_deliverytargeting	Deliveries
d11_logistic_select_delivery_method		Select Delivery
interfacelogistics_vehiclepurpose		Transport 

d11_logistics_transportTitle			Transport Preferences
d11_logistics_purpose_group_0			Inbound Deliveries
d11_logistics_transport_deliveries_hint		Choose which items should be delivered here.
d11_logistics_purpose_group_0_item_1		Construction materials
d11_logistics_purpose_group_0_item_2		Food
d11_logistics_purpose_group_0_item_3		Mail
d11_logistics_purpose_group_0_item_4		Workshop materials
d11_logistics_purpose_group_1			Inbound Prisoners
d11_logistics_transport_prisoners_hint		Choose which prisoners from your Intake should arrive here.
d11_logistics_purpose_group_1_item_1		Minimum security
d11_logistics_purpose_group_1_item_2		Medium security
d11_logistics_purpose_group_1_item_3		Max security
d11_logistics_purpose_group_1_item_4		Death row
d11_logistics_purpose_group_1_item_5		Insane
d11_logistics_purpose_group_2			Inbound Civilians
d11_logistics_transport_civilians_hint		Choose whether visitors and teachers can arrive here.
d11_logistics_purpose_group_3			Outbound Items
d11_logistics_transport_exports_hint		Choose which items are removed from your prison via this location.
d11_logistics_purpose_group_3_item_1		Garbage
d11_logistics_purpose_group_3_item_2		Exports
d11_logistics_purpose_toggle			Toggle		
d11_logistics_purpose_toggle_1			Toggle all
d11_logistics_purpose_toggle_on			(ON)
d11_logistics_purpose_toggle_off		(OFF)

d11_room_error_no_link				Unload Blocked. Please check the Deliveries and Transport Logistic options. 	

d11_hover_change						Change [[*L]]

water_amount                 	Water Level *X%
ferry_timer                 	Departs In *X
ferry_warning                 	Departure Blocked

d11_hover_dismiss_vehicle	Dismiss [[*S]]
d11_hover_depart_vehicle	Depart [[*S]]
interface_action_dismissVehicle	Dismiss Vehicle
d11_hover_dismiss_vehicle_desc	Dismiss the vehicle to free up space?
d11_hover_dismiss_helicopter_desc	Dismiss this helicopter?
d11_hover_dismiss_ferry_desc	Make the Ferry depart early?

d11_hover_fight_fires		Fight Fires [[*X]]
interface_action_fightFires		Fight Fires
d11_hover_fight_fires_desc	Take off and help fight any fires?
		
d11_hover_land_heli		Land [[*S]]
interface_action_landheli		Land Helicopter
d11_hover_land_heli_desc	Land the helicopter on its helipad?

d11_hover_eliteOps_select	Command Helicopter [[*X]]

d11_hover_deploy_squad		Deploy (Hold) [[*X]]
interface_action_deploySquad		Deploy Squad
d11_hover_deploy_squad_desc	Deploy the squad below the helicopter?

interfacemode_floors				Floors
interfaceoverlay_landscape			Landscape

d11_hover_quantity						x *X

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_obj_FerryDock		Two Ferry Docks will be built, to run parallel between islands, as a means of transportation between them. For a pair of docks to be built, there must be a landmass parallel.
buildtoolbar_popup_obj_BoatDock			Essential for allowing boats to dock at your prison, ferry new prisoners, or deliver supplies.
buildtoolbar_popup_obj_Helipad			Essential for allowing helicopters to fly into your prison, transport new prisoners, deliver supplies, or call upon special air-based emergency crews.

buildtoolbar_popup_obj_DeckChair		Lounge in the sun from your deck in comfort.\n -Caters to the Comfort Need.

buildtoolbar_popup_obj_Fountain			Place in water to create a relaxing fountain feature.

buildtoolbar_popup_obj_SteppingStoneLillyPad	Create pathways allowing prisoners and staff to cross water.\n \nOutdoor only.\n \nPlaced on Water only.
buildtoolbar_popup_obj_SteppingStone		Create pathways allowing prisoners and staff to cross water.\n \nOutdoor only.\n \nPlaced on Water only.
buildtoolbar_popup_obj_SteppingStoneIceBlock	Create pathways allowing prisoners and staff to cross water.\n \nOutdoor only.\n \nPlaced on Water only.
buildtoolbar_popup_obj_SteppingStonePallet	Create pathways allowing prisoners and staff to cross water.\n \nOutdoor only.\n \nPlaced on Water only.
buildtoolbar_popup_uts_ScannerMonitor	A monitor for a guard to spot contraband, when wired to a Scanner Machine. A guard's ability to spot contraband will depend on their tiredness
buildtoolbar_popup_uts_ScannerMachine	A machine for Delivery areas and Storage rooms, to scan wooden crates for contraband. Must be wired to a Scanner Monitor, for a guard to spot contraband. A guard's ability to spot contraband will depend on their tiredness.
buildtoolbar_popup_obj_Checkpoint		A Checkpoint Station for searching prisoners and visitors that pass through. Prisoners can only pass through a checkpoint in one direction.\n-Must be manned by a guard.
buildtoolbar_popup_obj_waterShallow		Create shallow water areas to create nicer shorelines, between Sand and Water flooring. These tiles can be walked over unlike standard Water. - $*A (outdoors only)
buildtoolbar_popup_obj_waterLarge		Create large areas of water, lakes and oceans. - $*A (outdoors only)
buildtoolbar_popup_obj_WoodDock			A solid timber floor, perfect for dock yard. - $*A (outdoors only)

landscape_hint							(Can be built on water)

d11_emergencies_hints_fire_heli			A helicopter with x*A Firemen. - $*B
d11_squad_name_FireHeli				Air Firefighters
d11_emergencies_hints_paramedics_heli		A helicopter with x*A Paramedics. - $*B
d11_squad_name_AirParamedics			Air Paramedics
d11_emergencies_hints_eliteOps_heli		A helicopter with x*A Elite Op Soldiers. - $*B
d11_squad_name_EliteOps				Elite Ops Team


interfacecallout_FireHeli                       Air Firefighters
interfacecallout_EliteOps                       Elite Ops Team
interfacecallout_AirParamedics                  Air Paramedics
interfacecallout_AirSoldiers                    Air Soldiers

buildtoolbar_Logistics_DeliveryTargeting 	Link Delivery, Garbage and Export zones to Helipads, Docks and the Road. Doing so allows you to control where deliveries are taken, and how exports leave your prison.
buildtoolbar_Logistics_VehiclePurpose		Control which services will be handled by specific Docks, Helipads or the Road. Doing so allows you to recieve specific goods or prisoners to various locations around your prison, by sea and air.


# =============================================================================
# Object Hint strings
# =============================================================================

boatDock_placement_hint		Requires a connection to land and a clear shipping lane.
delivery_hover_hint			The Logistics > Transport menu allows you to control the purposes of this *X.
ferryDock_placement_hint	Must have a parallel landmass to travel to.
transportZones_hover_hint	Link to Helipads, Docks and the road, via the Logistics menu.
object_scannermonitor_needsmachine						Wire to a Scanner Machine
object_scannermachine_needsmonitor						Wire to a Scanner Monitor

# =============================================================================
# Prefabs - Names
# =============================================================================

quickbuild_OutdoorLake							Outdoor Lake
quickbuild_River								River

# =============================================================================
# CODEX - Menu Entries
# =============================================================================

codex_options_hud_waypoints		Hud Waypoints
codex_options_hud_waypoints_all		All On
codex_options_hud_waypoints_important	Most Important
codex_options_hud_waypoints_off		All Off

d11_hud_waypoints_limited	All (Limited Time)
waypoints_tooltip			Decide which Waypoints to display around the HUD, pointing to various events and alerts occuring in the prison.


codex_option_dynamicReputations		Dynamic Reputations
codex_tooltip_dynamicReputations	Click to toggle Dynamic Reputations

# =============================================================================
# DLC
# =============================================================================

objective_ReadSandALetter						Letter from the CEO (Island Bound)
